tract_fips_2020,Tract_fips_2022,tract_name,town_name,town_fips_2020,town_fips_2022,county_name,county_fips_2020,ce_name_2022,ce_fips_2022,PUMA2020code,PUMA2020name,school_district_code,school_district_name,zip5_zcta2020
9009171600,9170171600,1716,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06451
9011696300,9180696300,6963,Norwich,901156270,918056270,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,104,Norwich,06360
9011702100,9180702100,7021,Groton,901134250,918034250,New London,9011,Southeastern Connecticut Planning Region,9180,20301,Shoreline Southeastern,59,Groton,06355
9009171700,9170171700,1717,Meriden,900946520,917046520,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,80,Meriden,06450
9009175100,9170175100,1751,Wallingford,900978740,917078740,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,148,Wallingford,06492
9009175200,9170175200,1752,Wallingford,900978740,917078740,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,148,Wallingford,06492
9009175300,9170175300,1753,Wallingford,900978740,917078740,New Haven,9009,South Central Connecticut Planning Region,9170,20503,South Central North,148,Wallingford,06492
9011700100,9180700100,7001,Preston,901162150,918062150,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,114,Preston,06365
9011660101,9130660101,6601.01,Old Lyme,901157040,913057040,New London,9011,Lower Connecticut River Valley Planning Region,9130,20400,Lower Connecticut River Valley,218,Region 18,06371
9011709100,9180709100,7091,Griswold,901133900,918033900,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,58,Griswold,06351
9011710100,9180710100,7101,Lisbon,901143230,918043230,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,73,Lisbon,06351
9011696100,9180696100,6961,Norwich,901156270,918056270,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,104,Norwich,06360
9011696200,9180696200,6962,Norwich,901156270,918056270,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,104,Norwich,06360
9011708100,9150708100,7081,Voluntown,901178600,915078600,New London,9011,Northeastern Connecticut Planning Region,9150,20204,Northeastern Planning Region & Stafford Town,147,Voluntown,06384
9011870100,9180870100,8701,Lebanon,901142390,918042390,New London,9011,Southeastern Connecticut Planning Region,9180,20302,Inland Southeastern,71,Lebanon,06249
9011702800,9180702800,7028,Groton,901134250,918034250,New London,9011,Southeastern Connecticut Planning Region,9180,20301,Shoreline Southeastern,59,Groton,06340
9011702900,9180702900,7029,Groton,901134250,918034250,New London,9011,Southeastern Connecticut Planning Region,9180,20301,Shoreline Southeastern,59,Groton,06340
9011703000,9180703000,7030,Groton,901134250,918034250,New London,9011,Southeastern Connecticut Planning Region,9180,20301,Shoreline Southeastern,59,Groton,06355
9005253200,9190253200,2532,New Milford,900552630,919052630,Litchfield,9005,Western Connecticut Planning Region,9190,20804,Western North,96,New Milford,06776
9005349200,9140349200,3492,Thomaston,900575730,914075730,Litchfield,9005,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,140,Thomaston,06787
9005362101,9140362101,3621.01,Woodbury,900587910,914087910,Litchfield,9005,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,214,Region 14,06798
9005300400,9160300400,3004,Litchfield,900543370,916043370,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,74,Litchfield,06759
9005300500,9160300500,3005,Litchfield,900543370,916043370,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,74,Litchfield,06759
9005360100,9140360100,3601,Watertown,900580490,914080490,Litchfield,9005,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,153,Watertown,06795
9005425300,9140425300,4253,Plymouth,900560750,914060750,Litchfield,9005,Naugatuck Valley Planning Region,9140,20602,Naugatuck Valley North,111,Plymouth,06786
9005261100,9160261100,2611,Salisbury,900566420,916066420,Litchfield,9005,Northwest Hills Planning Region,9160,20100,Northwest Hills,201,Region 1,06068
9005253400,9190253400,2534,New Milford,900552630,919052630,Litchfield,9005,Western Connecticut Planning Region,9190,20804,Western North,96,New Milford,06776
